Potassium Fluoride (K(HF2))	F2H1K1(cr,l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-15.294	-926.386	-926.386	INFINITE
100	48.961	34.988	165.420	-13.043	-930.274	-908.140	474.363
200	67.070	75.565	110.999	-7.087	-931.188	-885.531	231.277
298.15	76.940	104.264	104.264	0.	-931.233	-863.095	151.211
300	77.111	104.741	104.266	0.142	-931.230	-862.672	150.205
400	86.065	128.152	107.398	8.302	-933.221	-839.415	109.616
469.850	92.450	142.501	111.566	14.535	ALPHA <--> BETA
469.850	100.249	166.384	111.566	25.757	TRANSITION
500	100.249	172.619	115.061	28.779	-920.678	-816.803	85.331
511.950	100.249	174.987	116.432	29.977	BETA <--> LIQUID
511.950	104.600	187.916	116.432	36.596	TRANSITION
600	104.600	204.517	128.173	45.806	-911.629	-797.391	69.419
700	104.600	220.641	140.261	56.266	-909.185	-778.545	58.096
800	104.600	234.608	151.200	66.726	-906.788	-760.046	49.626
900	104.600	246.928	161.166	77.186	-904.452	-741.844	43.056
1000	104.600	257.949	170.303	87.646	-902.197	-723.898	37.813
1100	104.600	267.918	178.731	98.106	-978.995	-701.564	33.314
1200	104.600	277.020	186.548	108.566	-975.898	-676.480	29.446
1300	104.600	285.392	193.834	119.026	-972.847	-651.652	26.184
1400	104.600	293.144	200.654	129.486	-969.839	-627.058	23.396
1500	104.600	300.361	207.063	139.946	-966.873	-602.678	20.987
1600	104.600	307.111	213.107	150.406	-963.948	-578.494	18.886
1700	104.600	313.453	218.826	160.866	-961.062	-554.491	17.037
1800	104.600	319.431	224.250	171.326	-958.214	-530.658	15.399
1900	104.600	325.087	229.410	181.786	-955.401	-506.982	13.938
2000	104.600	330.452	234.329	192.246	-952.622	-483.452	12.626
