Sodium Bromide (NaBr)	Br1Na1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-11.590	-354.302	-354.302	INFINITE
100	40.166	35.606	130.332	-9.473	-354.921	-353.408	184.601
200	48.744	66.818	91.420	-4.920	-355.275	-351.758	91.870
298.15	51.400	86.818	86.818	0.	-361.414	-349.267	61.190
300	51.442	87.136	86.819	0.095	-361.441	-349.192	60.800
400	53.451	102.226	88.863	5.345	-379.052	-341.804	44.635
500	54.852	114.311	92.784	10.764	-378.581	-332.542	34.740
600	56.066	124.419	97.236	16.310	-377.911	-323.394	28.154
700	57.321	133.156	101.757	21.979	-377.063	-314.372	23.459
800	58.576	140.892	106.175	27.774	-376.054	-305.484	19.946
900	59.831	147.864	110.426	33.694	-374.903	-296.730	17.222
1000	61.086	154.232	114.492	39.740	-373.631	-288.111	15.049
1020.000	61.337	155.445	115.284	40.964	CRYSTAL <--> LIQUID
1100	62.342	160.113	118.376	45.911	372.260  279.625 13.278
1200	63.597	165.592	122.085	52.208	-467.569	-268.827	11.702
1300	64.852	170.732	125.631	58.631	-465.125	-252.364	10.140
1400	66.107	175.584	129.027	65.179	-462.561	-236.093	8.809
1500	67.345	180.187	132.286	71.851	-459.877	-220.010	7.661
1600	68.618	184.573	135.418	78.649	-457.072	-204.109	6.663
1700	69.925	188.772	138.434	85.576	-454.144	-188.388	5.788
1800	71.267	192.807	141.343	92.635	-451.091	-172.843	5.016
1900	72.645	196.697	144.155	99.830	-447.910	-157.471	4.329
2000	74.057	200.459	146.876	107.165	-444.598	-142.270	3.716
