Zinc Sulfate (ZnSO4)	O4S1Zn1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-17.238	-969.934	-969.934	INFINITE
100	47.585	31.581	183.544	-15.196	-975.390	-940.983	491.519
200	78.053	75.224	118.947	-8.745	-978.636	-905.195	236.413
298.15	99.035	110.541	110.541	0.000	-980.144	-868.777	152.206
300	99.370	111.155	110.543	0.184	-980.158	-868.086	151.147
400	116.022	142.074	114.647	10.971	-982.499	-830.588	108.464
500	131.210	169.620	122.933	23.344	-982.857	-792.557	82.798
540.000	136.817	179.933	126.775	28.705	I <--> II
540.000	136.817	189.231	126.775	33.726	TRANSITION
600	137.444	203.678	133.755	41.954	-976.948	-755.128	65.740
700	138.574	224.950	145.301	55.755	-983.260	-718.162	53.590
800	139.704	243.528	156.442	69.668	-982.369	-680.351	44.422
900	140.875	260.050	167.053	83.698	-1034.546	-641.575	37.236
1000	142.005	274.954	177.110	97.844	-1032.317	-598.031	31.238
1013.000	142.130	276.789	178.377	99.691	ALPHA <--> BETA
1013.000	145.185	296.862	178.377	120.025	TRANSITION
1100	145.185	308.825	188.228	132.656	-1009.533	-556.465	26.424
1200	145.185	321.457	198.812	147.175	-1122.238	-513.448	22.350
1300	145.185	333.078	208.699	161.693	-1118.867	-462.853	18.598
1400	145.185	343.838	217.972	176.212	-1115.572	-412.515	15.391
1500	145.185	353.854	226.701	190.730	-1112.348	-362.410	12.620
1600	145.185	363.224	234.944	205.249	-1109.190	-312.517	10.203
1700	145.185	372.026	242.751	219.767	-1106.097	-262.820	8.075
1800	145.185	380.325	250.166	234.286	-1103.065	-213.304	6.190
1900	145.185	388.174	257.225	248.804	-1100.093	-163.954	4.507
2000	145.185	395.622	263.960	263.323	-1097.180	-114.759	2.997
