# This is a TEA pre-atmosphere input file.            
# TEA accepts a file in this format to produce species abundances as 
# a function of pressure and temperature.                            
# Output species must be added in the line immediately following the 
# FINDSPEC marker and must be named to match JANAF converted names. 

#FINDSPEC
H_g C_g N_g O_g H2_ref CO_g CH4_g H2O_g N2_ref NH3_g

#FINDTEA
    Radius   Pressure    Temp                H                C                N                O 
 10000.000 1.0000e+00  100.00 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  9898.990 1.0000e+00  139.39 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  9797.980 1.0000e+00  178.79 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  9696.970 1.0000e+00  218.18 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  9595.960 1.0000e+00  257.58 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  9494.949 1.0000e+00  296.97 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  9393.939 1.0000e+00  336.36 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  9292.929 1.0000e+00  375.76 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  9191.919 1.0000e+00  415.15 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  9090.909 1.0000e+00  454.55 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  8989.899 1.0000e+00  493.94 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  8888.889 1.0000e+00  533.33 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  8787.879 1.0000e+00  572.73 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  8686.869 1.0000e+00  612.12 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  8585.859 1.0000e+00  651.52 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  8484.848 1.0000e+00  690.91 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  8383.838 1.0000e+00  730.30 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  8282.828 1.0000e+00  769.70 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  8181.818 1.0000e+00  809.09 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  8080.808 1.0000e+00  848.48 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  7979.798 1.0000e+00  887.88 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  7878.788 1.0000e+00  927.27 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  7777.778 1.0000e+00  966.67 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  7676.768 1.0000e+00 1006.06 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  7575.758 1.0000e+00 1045.45 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  7474.747 1.0000e+00 1084.85 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  7373.737 1.0000e+00 1124.24 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  7272.727 1.0000e+00 1163.64 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  7171.717 1.0000e+00 1203.03 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  7070.707 1.0000e+00 1242.42 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  6969.697 1.0000e+00 1281.82 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  6868.687 1.0000e+00 1321.21 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  6767.677 1.0000e+00 1360.61 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  6666.667 1.0000e+00 1400.00 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  6565.657 1.0000e+00 1439.39 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  6464.646 1.0000e+00 1478.79 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  6363.636 1.0000e+00 1518.18 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  6262.626 1.0000e+00 1557.58 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  6161.616 1.0000e+00 1596.97 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  6060.606 1.0000e+00 1636.36 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  5959.596 1.0000e+00 1675.76 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  5858.586 1.0000e+00 1715.15 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  5757.576 1.0000e+00 1754.55 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  5656.566 1.0000e+00 1793.94 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  5555.556 1.0000e+00 1833.33 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  5454.545 1.0000e+00 1872.73 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  5353.535 1.0000e+00 1912.12 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  5252.525 1.0000e+00 1951.52 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  5151.515 1.0000e+00 1990.91 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  5050.505 1.0000e+00 2030.30 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  4949.495 1.0000e+00 2069.70 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  4848.485 1.0000e+00 2109.09 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  4747.475 1.0000e+00 2148.48 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  4646.465 1.0000e+00 2187.88 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  4545.455 1.0000e+00 2227.27 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  4444.444 1.0000e+00 2266.67 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  4343.434 1.0000e+00 2306.06 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  4242.424 1.0000e+00 2345.45 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  4141.414 1.0000e+00 2384.85 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  4040.404 1.0000e+00 2424.24 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  3939.394 1.0000e+00 2463.64 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  3838.384 1.0000e+00 2503.03 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  3737.374 1.0000e+00 2542.42 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  3636.364 1.0000e+00 2581.82 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  3535.354 1.0000e+00 2621.21 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  3434.343 1.0000e+00 2660.61 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  3333.333 1.0000e+00 2700.00 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  3232.323 1.0000e+00 2739.39 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  3131.313 1.0000e+00 2778.79 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  3030.303 1.0000e+00 2818.18 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  2929.293 1.0000e+00 2857.58 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  2828.283 1.0000e+00 2896.97 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  2727.273 1.0000e+00 2936.36 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  2626.263 1.0000e+00 2975.76 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
  2525.253 1.0000e+00 3015.15 9.9917414201e-01 2.6893119784e-04 6.7552462686e-05 4.8937433162e-04 
