Potassium Borate (KBO2)	B1K1O2(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-12.108	-990.083	-990.083	INFINITE
100	35.012	25.125	130.260	-10.513	-993.150	-974.741	509.152
200	54.095	55.873	85.716	-5.968	-994.444	-955.739	249.613
298.15	67.028	79.981	79.981	0.	-994.955	-936.616	164.091
300	67.237	80.397	79.983	0.124	-994.961	-936.254	163.016
400	76.651	101.079	82.739	7.336	-997.561	-916.196	119.643
500	83.973	118.997	88.238	15.379	-997.415	-895.863	93.590
600	89.830	134.842	94.710	24.079	-996.896	-875.596	76.227
700	94.558	149.054	101.476	33.305	-996.076	-855.441	63.834
800	98.491	161.945	108.241	42.963	-995.014	-835.420	54.547
900	101.755	173.739	114.873	52.980	-993.767	-815.544	47.333
1000	104.474	184.607	121.310	63.297	-992.387	-795.814	41.569
1100	106.525	194.666	127.527	73.853	-1069.889	-771.617	36.641
1200	107.864	204.001	133.516	84.582	-1067.376	-744.612	32.412
1220.000	107.989	205.785	134.686	86.741	CRYSTAL <--> LIQUID
1300	108.575	212.662	139.275	95.403	1064.859  717.817 28.842
1400	109.383	220.738	144.809	106.301	-1062.343	-691.216	25.790
1500	110.190	228.312	150.126	117.280	-1059.820	-664.795	23.150
1600	110.997	235.449	155.237	128.339	-1057.284	-638.542	20.846
1700	111.804	242.203	160.156	139.479	-1054.735	-612.449	18.818
1800	112.611	248.616	164.894	150.700	-1052.169	-586.506	17.020
1900	113.417	254.726	169.462	162.001	-1049.588	-560.706	15.415
2000	114.223	260.564	173.873	173.383	-1046.990	-535.043	13.974
