Nickel Sulfide (NiS)	Ni1S1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.465	-87.131	-87.131	INFINITE
100	23.187	12.857	89.876	-7.702	-87.566	-86.854	45.368
200	40.626	35.370	57.135	-4.353	-87.748	-86.055	22.475
298.15	47.112	52.992	52.992	0.	-87.864	-85.200	14.927
300	47.196	53.284	52.993	0.087	-87.867	-85.184	14.832
400	50.501	67.332	54.886	4.978	-90.301	-84.172	10.992
500	53.053	78.880	58.563	10.158	-92.016	-82.453	8.614
600	55.312	88.757	62.792	15.579	-93.458	-80.402	7.000
652.000	56.372	93.399	65.050	18.483	BETA <--> ALPHA
652.000	53.152	103.281	65.050	24.927	TRANSITION
700	54.518	107.105	67.804	27.511	-88.196	-78.598	5.865
800	57.363	114.570	73.189	33.105	-88.900	-77.175	5.039
900	60.208	121.491	78.176	38.983	-142.408	-74.603	4.330
1000	63.053	127.982	82.835	45.146	-141.290	-67.127	3.506
1100	65.898	134.125	87.221	51.594	-139.971	-59.773	2.838
1200	68.743	139.980	91.375	58.326	-138.456	-52.547	2.287
1249.000	70.137	142.759	93.337	61.728	ALPHA <--> LIQUID
1300	71.588	145.595	95.332	65.342	136.751  45.456 1.826
1400	74.433	151.005	99.116	72.644	-134.864	-38.503	1.437
1500	77.278	156.237	102.751	80.229	-132.797	-31.691	1.104
1600	80.124	161.315	106.253	88.099	-130.554	-25.023	0.817
1700	82.969	166.258	109.638	96.254	-128.142	-18.500	0.568
