# Pressure    Temp
1.0000e+00  100.00
1.0000e+00  129.29
1.0000e+00  158.59
1.0000e+00  187.88
1.0000e+00  217.17
1.0000e+00  246.46
1.0000e+00  275.76
1.0000e+00  305.05
1.0000e+00  334.34
1.0000e+00  363.64
1.0000e+00  392.93
1.0000e+00  422.22
1.0000e+00  451.52
1.0000e+00  480.81
1.0000e+00  510.10
1.0000e+00  539.39
1.0000e+00  568.69
1.0000e+00  597.98
1.0000e+00  627.27
1.0000e+00  656.57
1.0000e+00  685.86
1.0000e+00  715.15
1.0000e+00  744.44
1.0000e+00  773.74
1.0000e+00  803.03
1.0000e+00  832.32
1.0000e+00  861.62
1.0000e+00  890.91
1.0000e+00  920.20
1.0000e+00  949.49
1.0000e+00  978.79
1.0000e+00 1008.08
1.0000e+00 1037.37
1.0000e+00 1066.67
1.0000e+00 1095.96
1.0000e+00 1125.25
1.0000e+00 1154.55
1.0000e+00 1183.84
1.0000e+00 1213.13
1.0000e+00 1242.42
1.0000e+00 1271.72
1.0000e+00 1301.01
1.0000e+00 1330.30
1.0000e+00 1359.60
1.0000e+00 1388.89
1.0000e+00 1418.18
1.0000e+00 1447.47
1.0000e+00 1476.77
1.0000e+00 1506.06
1.0000e+00 1535.35
1.0000e+00 1564.65
1.0000e+00 1593.94
1.0000e+00 1623.23
1.0000e+00 1652.53
1.0000e+00 1681.82
1.0000e+00 1711.11
1.0000e+00 1740.40
1.0000e+00 1769.70
1.0000e+00 1798.99
1.0000e+00 1828.28
1.0000e+00 1857.58
1.0000e+00 1886.87
1.0000e+00 1916.16
1.0000e+00 1945.45
1.0000e+00 1974.75
1.0000e+00 2004.04
1.0000e+00 2033.33
1.0000e+00 2062.63
1.0000e+00 2091.92
1.0000e+00 2121.21
1.0000e+00 2150.51
1.0000e+00 2179.80
1.0000e+00 2209.09
1.0000e+00 2238.38
1.0000e+00 2267.68
1.0000e+00 2296.97
1.0000e+00 2326.26
1.0000e+00 2355.56
1.0000e+00 2384.85
1.0000e+00 2414.14
1.0000e+00 2443.43
1.0000e+00 2472.73
1.0000e+00 2502.02
1.0000e+00 2531.31
1.0000e+00 2560.61
1.0000e+00 2589.90
1.0000e+00 2619.19
1.0000e+00 2648.48
1.0000e+00 2677.78
1.0000e+00 2707.07
1.0000e+00 2736.36
1.0000e+00 2765.66
1.0000e+00 2794.95
1.0000e+00 2824.24
1.0000e+00 2853.54
1.0000e+00 2882.83
1.0000e+00 2912.12
1.0000e+00 2941.41
1.0000e+00 2970.71
1.0000e+00 3000.00
