# P  (bar)  T  (K)
1.0000e-05  500.00
1.1768e-05  535.35
1.3849e-05  570.71
1.6298e-05  606.06
1.9179e-05  641.41
2.2570e-05  676.77
2.6561e-05  712.12
3.1257e-05  747.47
3.6784e-05  782.83
4.3288e-05  818.18
5.0941e-05  853.54
5.9948e-05  888.89
7.0548e-05  924.24
8.3022e-05  959.60
9.7701e-05  994.95
1.1498e-04 1030.30
1.3530e-04 1065.66
1.5923e-04 1101.01
1.8738e-04 1136.36
2.2051e-04 1171.72
2.5950e-04 1207.07
3.0539e-04 1242.42
3.5938e-04 1277.78
4.2292e-04 1313.13
4.9770e-04 1348.48
5.8570e-04 1383.84
6.8926e-04 1419.19
8.1113e-04 1454.55
9.5455e-04 1489.90
1.1233e-03 1525.25
1.3219e-03 1560.61
1.5557e-03 1595.96
1.8307e-03 1631.31
2.1544e-03 1666.67
2.5354e-03 1702.02
2.9836e-03 1737.37
3.5112e-03 1772.73
4.1320e-03 1808.08
4.8626e-03 1843.43
5.7224e-03 1878.79
6.7342e-03 1914.14
7.9248e-03 1949.49
9.3260e-03 1984.85
1.0975e-02 2020.20
1.2915e-02 2055.56
1.5199e-02 2090.91
1.7886e-02 2126.26
2.1049e-02 2161.62
2.4771e-02 2196.97
2.9151e-02 2232.32
3.4305e-02 2267.68
4.0370e-02 2303.03
4.7508e-02 2338.38
5.5908e-02 2373.74
6.5793e-02 2409.09
7.7426e-02 2444.44
9.1116e-02 2479.80
1.0723e-01 2515.15
1.2619e-01 2550.51
1.4850e-01 2585.86
1.7475e-01 2621.21
2.0565e-01 2656.57
2.4201e-01 2691.92
2.8480e-01 2727.27
3.3516e-01 2762.63
3.9442e-01 2797.98
4.6416e-01 2833.33
5.4623e-01 2868.69
6.4281e-01 2904.04
7.5646e-01 2939.39
8.9022e-01 2974.75
1.0476e+00 3010.10
1.2328e+00 3045.45
1.4508e+00 3080.81
1.7074e+00 3116.16
2.0092e+00 3151.52
2.3645e+00 3186.87
2.7826e+00 3222.22
3.2745e+00 3257.58
3.8535e+00 3292.93
4.5349e+00 3328.28
5.3367e+00 3363.64
6.2803e+00 3398.99
7.3907e+00 3434.34
8.6975e+00 3469.70
1.0235e+01 3505.05
1.2045e+01 3540.40
1.4175e+01 3575.76
1.6681e+01 3611.11
1.9630e+01 3646.46
2.3101e+01 3681.82
2.7186e+01 3717.17
3.1993e+01 3752.53
3.7649e+01 3787.88
4.4306e+01 3823.23
5.2140e+01 3858.59
6.1359e+01 3893.94
7.2208e+01 3929.29
8.4975e+01 3964.65
1.0000e+02 4000.00
